mid,bid,created_at,text,reposts,comments,attitudes,media_type,page_title,page_url,partner,category,region,classified_by,confidence
5258590170384993,QoAch1C9z,2026-01-24T04:30:59+00:00,枪响少年来！@吴磊LEO 正式成为@和平精英 全新品牌代言人！从荧幕上的质感演员到战场上的热血精英，以少年本色与全体特种兵并肩作战。吃鸡，是旷野越打，越年轻在和平精英，永远像少年一样游戏！#和平精英新代言人吴磊##大吉大利和平年##吴磊和平精英舰长新造型#和平精英的微博视频,1000000,272464,4035927,video,和平精英的微博视频,https://video.weibo.com/show?fid=1034%3A5258365790519342&luicode=10000011&lfid=1005057095404909&launchid=10000360-page_H5,吴磊,Artist,CN,gpt,1.0
4882061397854723,MyqN5wXn5,2023-03-22T04:00:04+00:00,在品牌代言人@华晨宇yu 的号召下，特种兵们已纷纷登上这辆#和平精英冒险列车#，在驶向终点站「四周年庆典舞台」的旅途上，还将收获各种新奇、刺激又快乐的玩法体验 搭乘和平号快速转移、光子鸡派发高级物资、磁吸小火车敌友相吸、超强移动掩体光子鸡手推车，雷达站多次召回机制…… ...全文,4705,3166,404138,video,和平精英的微博视频,https://video.weibo.com/show?fid=1034%3A4882039208607838&launchid=10000360-page_H5,华晨宇,Artist,CN,gpt,0.9
5193709911803955,PDjP17zi3,2025-07-29T03:40:00+00:00,🎁【2025#和平精英刺激之夜#·全明星COS造型首曝，50张门票大放送！】🔥和平精英品牌代言人华晨宇、宋茜 、田曦薇 、虞书欣 和平精英品牌大使祝绪丹，惊喜大使姚安娜明星特种兵KINJAZ、史彭元、唐汉霄全明星集结开秀，COS演绎2025和平精英九大和平风趋势！（代言人及嘉宾按姓名首字母排序） ...全文,29149,18520,253980,image,微博抽奖公示,https://event.weibo.com/yae/event/lottery/history?mid=5193709911803955&launchid=10000360-page_H5,Tian Xiwei,Artist,CN,rule,0.75
5194062241726687,PDsZi7fbN,2025-07-30T03:00:01+00:00,2025#和平精英刺激之夜#全卡司阵容，今日重磅官宣！🔥顶流明星集结开秀！和平精英品牌代言人华晨宇、宋茜 、田曦薇 、虞书欣和平精英品牌大使祝绪丹，惊喜大使姚安娜明星特种兵KINJAZ、史彭元、唐汉霄🔥头部主播作者化身和平超模惊喜空降，演绎高热皮肤！🔥更多大秀嘉宾候场中！敬请期待 ...全文,34692,8864,236060,video,和平精英的微博视频,https://video.weibo.com/show?fid=1034%3A5193888441237607&launchid=10000360-page_H5,Tian Xiwei,Artist,CN,rule,0.75
4880285688136109,MxGB2y8zz,2023-03-17T06:24:01+00:00,#和平精英冒险列车#发车整活！「4周年冒险列车新版本」即将在3月22日正式上线！ 品牌代言人宋茜闪现列车播报，《还好我会玩儿》栏目官方抢先爆料：新机制、新载具、新掩体，抢先带你玩儿！ 主持人为何现场#官方大喊狼队memory#？ 听说#艺帝帝影帝的帝#？ 体验服上 ...全文,1694,577,221392,video,和平精英的微博视频,https://video.weibo.com/show?fid=1034%3A4880243769671769&launchid=10000360-page_H5,宋茜,Artist,CN,gpt,0.9
5086055604948357,OA6HmkLid,2024-10-05T02:00:13+00:00,每一局，都有奇思妙想的念头！ 每一局，都有千奇百变的行头！每一局，都有会心一击的准头！我是@和平精英  全新品牌代言人 田曦薇 ，带你赢下所有甜头！#和平精英品牌代言人田曦薇#  #和平精英潮流时装周# 田曦薇的微博视频,774762,45300,201959,video,田曦薇的微博视频,https://video.weibo.com/show?fid=1034%3A5085894571655246&launchid=10000360-page_H5,Tian Xiwei,Artist,CN,rule,0.75
5262900828308807,QqokWyRv1,2026-02-05T02:00:00+00:00,#和平精英全明星直播周##全明星游戏直播周#🔥和平精英新春直播周预热开启！2月6日起，全明星阵容玩转和平，新春福利送不停。🌟明星专场高能集结：2月6日和平精英品牌代言人@吴磊LEO 和平精英直播首秀，枪响少年来！2月10日和平精英品牌代言人@华晨宇yu 神秘生日礼物，空降开年直播！2月13 ...全文,11961,3496,188585,image,#和平精英全明星直播周#,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%92%8C%E5%B9%B3%E7%B2%BE%E8%8B%B1%E5%85%A8%E6%98%8E%E6%98%9F%E7%9B%B4%E6%92%AD%E5%91%A8%23&extparam=%23%E5%92%8C%E5%B9%B3%E7%B2%BE%E8%8B%B1%E5%85%A8%E6%98%8E%E6%98%9F%E7%9B%B4%E6%92%AD%E5%91%A8%23&luicode=10000011&lfid=1005057095404909&launchid=10000360-page_H5,"吴磊, 华晨宇",Artist,CN,gpt,0.9
4793338581222187,LDaa657WH,2022-07-20T08:07:16+00:00,⭐️ 舞台上，唱跳俱佳是她⭐️ 荧屏上，英姿酷飒是她⭐️ 战场上，追逐胜利是她 7月25日，《和平精英》品牌代言人、空投节胜利女神即将降临 发射信号，为你召唤漫天惊喜 2022空投节，让我们和她#一起去追空投雨#！,33574,12463,183703,image,#一起去追空投雨#,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E4%B8%80%E8%B5%B7%E5%8E%BB%E8%BF%BD%E7%A9%BA%E6%8A%95%E9%9B%A8%23&extparam=%23%E4%B8%80%E8%B5%B7%E5%8E%BB%E8%BF%BD%E7%A9%BA%E6%8A%95%E9%9B%A8%23&launchid=10000360-page_H5,和平精英品牌代言人,Artist,CN,gpt,0.8
4795087332835946,LDTEFbTL4,2022-07-25T03:56:10+00:00,视线锁定，拿下新一城， 稳步前进，共赴下一圈。 做什么都能大吉大利 就让她为你召唤惊喜 #和平精英品牌代言人宋茜# 空投节胜利女神降临 集合！各位特种兵，和胜利女神@宋茜 #一起去追空投雨#和平精英的微博视频,82443,10525,165153,video,和平精英的微博视频,https://video.weibo.com/show?fid=1034%3A4795060638908531&launchid=10000360-page_H5,宋茜,Artist,CN,gpt,0.9
4795089756357572,LDTIzqFTu,2022-07-25T04:05:49+00:00,荧幕上角色多样，战场上和你并肩刚枪 舞台上动作漂亮，游戏里更能打得飒爽 #和平精英品牌代言人宋茜# @宋茜 率先打响信号枪！[酷炫街舞给手] 各位特种兵，抬头见喜，准备好迎接空投雨！#一起去追空投雨#,48492,11218,146147,image,#和平精英品牌代言人宋茜#,https://m.weibo.cn/search?containerid=231522type%3D1%26t%3D10%26q%3D%23%E5%92%8C%E5%B9%B3%E7%B2%BE%E8%8B%B1%E5%93%81%E7%89%8C%E4%BB%A3%E8%A8%80%E4%BA%BA%E5%AE%8B%E8%8C%9C%23&extparam=%23%E5%92%8C%E5%B9%B3%E7%B2%BE%E8%8B%B1%E5%93%81%E7%89%8C%E4%BB%A3%E8%A8%80%E4%BA%BA%E5%AE%8B%E8%8C%9C%23&launchid=10000360-page_H5,宋茜,Artist,CN,gpt,0.95
