partner_name,category,region,post_count,total_reposts,total_comments,total_attitudes,total_comment_likes,avg_reposts,avg_comments,avg_attitudes,engagement_rate,top_posts,date_range_start,date_range_end
吴磊,Artist,CN,6,1013551,277971,4092925,0,168925.17,46328.5,682154.17,897407.83,"[""5258590170384993|和平精英的微博视频(4,035,927 likes)"", ""5259624242745380|和平精英的微博视频(24,680 likes)"", ""5259654437012774|#和平精英丝路贺新春#(15,613 likes)""]",2026-01-24T04:30:59+00:00,2026-02-11T03:00:00+00:00
Tian Xiwei,Artist,CN,23,1035097,211278,1663597,0,45004.22,9186.0,72330.3,126520.52,"[""5193709911803955|微博抽奖公示(253,980 likes)"", ""5194062241726687|和平精英的微博视频(236,060 likes)"", ""5086055604948357|田曦薇的微博视频(201,959 likes)""]",2024-10-05T02:00:13+00:00,2026-02-11T03:45:00+00:00
华晨宇,Artist,CN,71,322083,294336,1326992,0,4536.38,4145.58,18690.03,27371.99,"[""4882061397854723|和平精英的微博视频(404,138 likes)"", ""5195149396673453|2025#和平精英刺激之夜#·全明星九大和平风测试卷大揭秘！8月2日12:30，游戏内同款时尚趋势测(98,453 likes)"", ""5026352152970081|和平精英的微博视频(47,086 likes)""]",2022-07-29T03:57:10+00:00,2026-02-11T03:15:00+00:00
宋茜,Artist,CN,29,275632,49256,943780,0,9504.55,1698.48,32544.14,43747.17,"[""4880285688136109|和平精英的微博视频(221,392 likes)"", ""4795087332835946|和平精英的微博视频(165,153 likes)"", ""4795089756357572|#和平精英品牌代言人宋茜#(146,147 likes)""]",2022-07-25T03:56:10+00:00,2026-02-11T03:30:00+00:00
王嘉尔,Artist,CN,13,242285,295291,374246,0,18637.31,22714.69,28788.15,70140.15,"[""4925910312032521|和平精英的微博视频(104,227 likes)"", ""4931346134472005|和平精英的微博视频(29,876 likes)"", ""4931353684213995|和平精英的微博视频(28,291 likes)""]",2023-07-21T04:00:00+00:00,2023-10-01T06:38:43+00:00
李昀锐,Artist,CN,8,66225,48007,356708,0,8278.12,6000.88,44588.5,58867.5,"[""5184277760968006|#李昀锐灵猫魔法师大片#(82,124 likes)"", ""5184305999645655|#李昀锐灵猫魔法师大片#(60,127 likes)"", ""5184625053533027|和平精英的微博视频(56,113 likes)""]",2025-07-03T03:00:00+00:00,2025-09-12T03:00:01+00:00
"华晨宇, 宋茜",Artist,CN,6,21863,5027,278336,0,3643.83,837.83,46389.33,50871.0,"[""4807832681058279|和平精英的微博视频(98,068 likes)"", ""4802404219880660|#PEL夏决明星双排表演赛#(86,386 likes)"", ""4884311209411877|#和平精英绿洲世界#(76,408 likes)""]",2022-08-14T08:30:52+00:00,2023-05-09T07:34:59+00:00
Metro Exodus,Game,CN,219,58736,62117,201932,0,268.2,283.64,922.06,1473.9,"[""5209267432850185|和平精英的微博视频(20,421 likes)"", ""5238258453712717|和平精英的微博视频(20,085 likes)"", ""5208920135828378|#和平精英创乐激战#(17,721 likes)""]",2025-03-24T14:00:00+00:00,2026-02-27T10:00:00+00:00
"吴磊, 华晨宇",Artist,CN,1,11961,3496,188585,0,11961.0,3496.0,188585.0,204042.0,"[""5262900828308807|#和平精英全明星直播周#(188,585 likes)""]",2026-02-05T02:00:00+00:00,2026-02-05T02:00:00+00:00
和平精英品牌代言人,Artist,CN,1,33574,12463,183703,0,33574.0,12463.0,183703.0,229740.0,"[""4793338581222187|#一起去追空投雨#(183,703 likes)""]",2022-07-20T08:07:16+00:00,2022-07-20T08:07:16+00:00
李一桐,Artist,CN,5,76191,7161,155715,0,15238.2,1432.2,31143.0,47813.4,"[""5249507576519296|和平精英的微博视频(36,586 likes)"", ""5249205594751217|和平精英的微博视频(36,251 likes)"", ""5249190486869091|#和平精英暮色玫影#(31,966 likes)""]",2025-12-29T06:00:00+00:00,2025-12-30T07:00:01+00:00
长相思,Movie,CN,3,14028,11189,154394,0,4676.0,3729.67,51464.67,59870.33,"[""4931693418909426|和平精英的微博视频(106,252 likes)"", ""4935677151550635|和平精英的微博视频(47,783 likes)"", ""4937621862358105|和平精英的微博视频(359 likes)""]",2023-08-06T03:00:00+00:00,2023-08-22T11:37:31+00:00
侯明昊,Artist,CN,4,216871,22723,152045,0,54217.75,5680.75,38011.25,97909.75,"[""5272723094766911|#和平精英霜月狼主#(137,034 likes)"", ""5272730770866457|和平精英的微博视频(8,964 likes)"", ""5273055242486319|和平精英的微博视频(4,079 likes)""]",2026-03-04T04:30:11+00:00,2026-03-05T03:00:00+00:00
嘉人,Other,CN,1,28150,2878,144941,0,28150.0,2878.0,144941.0,175969.0,"[""4803060839222205|#2022PEL夏季赛总决赛#(144,941 likes)""]",2022-08-16T04:00:03+00:00,2022-08-16T04:00:03+00:00
吴京,Artist,CN,13,5846,7301,127757,0,449.69,561.62,9827.46,10838.77,"[""4859593342325257|和平精英的微博视频(104,176 likes)"", ""4765743847833766|和平精英的微博视频(11,268 likes)"", ""5153112408195684|和平精英的微博视频(6,348 likes)""]",2022-04-28T03:03:34+00:00,2025-04-11T03:00:34+00:00
陈都灵,Artist,CN,1,166862,224930,123610,0,166862.0,224930.0,123610.0,515402.0,"[""5127043211330464|和平精英的微博视频(123,610 likes)""]",2025-01-26T04:30:20+00:00,2025-01-26T04:30:20+00:00
"宋茜, 杨丽萍",Artist,CN,1,22122,2518,121801,0,22122.0,2518.0,121801.0,146441.0,"[""5161084940454634|和平精英的微博视频(121,801 likes)""]",2025-04-30T03:00:01+00:00,2025-04-30T03:00:01+00:00
"华晨宇, 宋茜, 康姆士, 希林娜依高",Artist,CN,1,18919,1841,96619,0,18919.0,1841.0,96619.0,117379.0,"[""4799176128859112|#2022为你空投计划#(96,619 likes)""]",2022-08-05T10:43:36+00:00,2022-08-05T10:43:36+00:00
Porsche,Brand,CN,9,5040,4971,96192,0,560.0,552.33,10688.0,11800.33,"[""5196953786256206|2025#和平精英刺激之夜# 吉时已到！2025年刺激之夜全明星送福利！ 和平精英品牌代言人华晨宇、(57,730 likes)"", ""5196968886538659|和平精英的微博视频(32,936 likes)"", ""5235721741795433|#2025和平精英全球总决赛#(1,425 likes)""]",2025-07-23T13:41:27+00:00,2025-11-22T02:00:00+00:00
"华晨宇, 宋茜, 希林娜依高, 康姆士COMZ",Artist,CN,1,34165,48558,86773,0,34165.0,48558.0,86773.0,169496.0,"[""4804872892056878|惊喜，从不辜负每一次追寻！8月21日16:00，锁定#2022PEL夏季赛总决赛# 暨空投节盛典「超(86,773 likes)""]",2022-08-21T04:00:30+00:00,2022-08-21T04:00:30+00:00
"华晨宇, 宋茜, 希林娜依高, 康姆士",Artist,CN,1,26387,1199,83859,0,26387.0,1199.0,83859.0,111445.0,"[""4805361864019846|和平精英的微博视频(83,859 likes)""]",2022-08-22T12:23:30+00:00,2022-08-22T12:23:30+00:00
"华晨宇, 宋茜, 一条小团团OvO, 逍遥散人M",Artist,CN,1,1957,1248,74628,0,1957.0,1248.0,74628.0,77833.0,"[""4833283890744045|#你最想和谁组队#(74,628 likes)""]",2022-11-07T13:35:40+00:00,2022-11-07T13:35:40+00:00
硬糖少女303-希林娜依高,Artist,CN,1,16323,3506,68283,0,16323.0,3506.0,68283.0,88112.0,"[""4762451075924951|硬糖少女303希林娜依·高(68,283 likes)""]",2022-04-26T02:31:20+00:00,2022-04-26T02:31:20+00:00
"华晨宇, 宋茜, 希林娜依高, 一条小团团, 逍遥散人",Artist,CN,1,11010,1693,64947,0,11010.0,1693.0,64947.0,77650.0,"[""4832519953058082|#你最想和谁组队#(64,947 likes)""]",2022-11-05T11:00:03+00:00,2022-11-05T11:00:03+00:00
祝绪丹,Artist,CN,7,17277,6073,62847,0,2468.14,867.57,8978.14,12313.86,"[""5236831550704441|#和平精英雪战到底#(27,430 likes)"", ""5241565247179093|和平精英的微博视频(22,195 likes)"", ""5192265396915293|和平精英的微博视频(5,598 likes)""]",2025-07-25T04:00:01+00:00,2026-02-13T06:30:00+00:00
