mid,bid,created_at,text_preview,video_title,reposts,comments,attitudes,video_url,duration_sec,thumbnail,is_collab,partner,category
5258590170384993,QoAch1C9z,2026-01-24T04:30:59+00:00,枪响少年来！@吴磊LEO 正式成为@和平精英 全新品牌代言人！从荧幕上的质感演员到战场上的热血精英，以少年本色与全体特种兵并肩作战。吃鸡，是旷野越打，越年轻在和,和平精英的微博视频,1000000,272464,4035927,"https://f.video.weibocdn.com/u0/HAPWfjwUgx08uMlCj8jC01041200iNHA0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772603228&ssig=LPJzdPGh%2Bw&KID=unistore,video",40.75,https://wx3.sinaimg.cn/orj480/007KbAWFgy1i9l04gv2quj31hc0u04qq.jpg,1,吴磊,Artist
5125943517513042,PaSUnvwu6,2025-01-23T03:40:32+00:00,今天起，我在和平精英喜提新身份！开门大吉，看我在贺岁片里以新身份“营业”这个春节，和我一起回和平贺新岁总有一扇门为你而留说不定，推开下一扇门，你就能遇上我和平精,和平精英的微博视频,1000000,1000000,1574968,"https://f.video.weibocdn.com/u0/tnhXfWhTgx08lnsO5DKU01041202kkT00E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772609015&ssig=itiNydMnN6&KID=unistore,video",258.809,https://wx1.sinaimg.cn/orj480/007KbAWFgy1hxuihxhuchj30u00gvjvv.jpg,0,,
5028450993967458,ObW8HgE7g,2024-04-29T03:00:04+00:00,在海岛住了四年，匹配了无数局，去了无数次训练场，看了无数场PEL，带给了我无数的美好有趣的瞬间。所以我也积累了快四年的灵感，在今年终于亲自为和平精英5周年创作了,和平精英的微博视频,1000000,1000000,1503256,"https://f.video.weibocdn.com/u0/O7IYQhecgx08er3QASwo010412038vHs0E020.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772609015&ssig=i%2BMp9%2FgtlA&KID=unistore,video",349.483,https://wx4.sinaimg.cn/orj480/007KbAWFgy1hp6js4vbhrj31hc0u0n0d.jpg,0,,
5193692296252903,PDjmBqeFh,2025-07-29T02:30:00+00:00,#刺激之夜明星阵容首曝#🎁【2025#和平精英刺激之夜#·全明星阵容首曝】🔥✨和平全明星即将COS开秀！8月9日19:15，锁定2025#和平精英刺激之夜#，让,和平精英的微博视频,35424,15619,524495,"https://f.video.weibocdn.com/u0/aPVqYB0Agx08q8Zxm6QE010412009tJE0E010.mp4?label=mp4_720p&template=720x1080.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772608781&ssig=ZVH4MBHWjl&KID=unistore,video",15.069,https://wx2.sinaimg.cn/orj480/007KbAWFgy1i3sq24r82yj30go0m8qh2.jpg,0,,
4882061397854723,MyqN5wXn5,2023-03-22T04:00:04+00:00,在品牌代言人@华晨宇yu 的号召下，特种兵们已纷纷登上这辆#和平精英冒险列车#，在驶向终点站「四周年庆典舞台」的旅途上，还将收获各种新奇、刺激又快乐的玩法体验 ,和平精英的微博视频,4705,3166,404138,"https://f.video.weibocdn.com/o0/drCcHT7clx0843Z7cFEs01041201eoXr0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772610102&ssig=t%2FjnPF7KeG&KID=unistore,video",112.175,https://wx3.sinaimg.cn/orj480/007KbAWFgy1hc8fmii6swj31po0ypb29.jpg,1,华晨宇,Artist
5194062241726687,PDsZi7fbN,2025-07-30T03:00:01+00:00,2025#和平精英刺激之夜#全卡司阵容，今日重磅官宣！🔥顶流明星集结开秀！和平精英品牌代言人华晨宇、宋茜 、田曦薇 、虞书欣和平精英品牌大使祝绪丹，惊喜大使姚安,和平精英的微博视频,34692,8864,236060,"https://f.video.weibocdn.com/u0/tlb9SMa4gx08qcyfK3IY01041200qCGQ0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772608776&ssig=ltI3UCNYSR&KID=unistore,video",51.083,https://wx3.sinaimg.cn/orj480/007KbAWFgy1i3vayo87mnj30go0m8jyd.jpg,1,Tian Xiwei,Artist
4880285688136109,MxGB2y8zz,2023-03-17T06:24:01+00:00,#和平精英冒险列车#发车整活！「4周年冒险列车新版本」即将在3月22日正式上线！ 品牌代言人宋茜闪现列车播报，《还好我会玩儿》栏目官方抢先爆料：新机制、新载具、,和平精英的微博视频,1694,577,221392,"https://f.video.weibocdn.com/o0/sklnPXzplx083W5cS0qk01041201de9m0E010.mp4?label=mp4_720p&template=1280x720.25.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772610113&ssig=rhJKwFJ27b&KID=unistore,video",191.261,https://wx3.sinaimg.cn/orj480/007KbAWFgy1hc2pdj9thlj31hc0u0hdt.jpg,1,宋茜,Artist
5086055604948357,OA6HmkLid,2024-10-05T02:00:13+00:00,每一局，都有奇思妙想的念头！ 每一局，都有千奇百变的行头！每一局，都有会心一击的准头！我是@和平精英  全新品牌代言人 田曦薇 ，带你赢下所有甜头！#和平精英品,田曦薇的微博视频,774762,45300,201959,"https://f.video.weibocdn.com/o0/j3uyIeBqlx08ixeeqBmw01041200jbCp0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772609015&ssig=E%2BZkfoEhoi&KID=unistore,video",30.116,https://wx1.sinaimg.cn/orj480/a2d60795gy1huas19wx3xj20u0141kat.jpg,1,Tian Xiwei,Artist
5026986337239214,Obk2lunfw,2024-04-25T02:00:01+00:00,#和平精英五周年玩出圈# 和平精英5周年【新一圈发布会】滴滴！甜心预警！你的xin朋友已上线！xin朋友是谁?关键性线索——海岛小白裙！ 和平精英的微博视频,和平精英的微博视频,106079,16468,201159,"https://f.video.weibocdn.com/u0/x0T37Rx7gx08elcCtBS0010412009EDN0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772609018&ssig=5LK%2BsC7mt2&KID=unistore,video",16.462,https://wx1.sinaimg.cn/orj480/007KbAWFgy1hp2b07yfiij30u0140n9o.jpg,0,,
5208557974978567,Q3ADbkT9t,2025-09-08T03:00:53+00:00,给海岛来点儿刺激magic！9月9日，跟我一起开启@和平精英 全新版本「创乐激战」！想拿满分刺激？创乐园2.0升级回归，老地方，新惊喜。加入我的小队，给超体再上,小林是李昀锐的微博视频,215042,185203,165642,"https://f.video.weibocdn.com/o0/ShAmyaOMlx08rel9cPJu010412007YdE0E010.mp4?label=mp4_720p&template=720x1280.24.0&ori=0&ps=1CwnkDw1GXwCQx&Expires=1772608709&ssig=YaPuGPHbmK&KID=unistore,video",13.072,https://wx2.sinaimg.cn/orj480/005E4IZzgy1i55jhkeeslj30u0141nax.jpg,0,,
