Partner,Category,Video Count,Total Views,Total Likes,Total Comments,Avg Views,First Collab,Last Collab
BLACKPINK,Artist,23,137643873,1180236,39391,5984516.0,2020-10-24T13:00:09+00:00,2022-08-15T17:00:07+00:00
BABYMONSTER,Artist,12,79213294,82772,3055,6601108.0,2025-03-20T00:00:27+00:00,2025-12-19T02:00:52+00:00
Dragon Ball Super,Anime,27,48975645,134626,2631,1813913.0,2023-07-08T02:00:06+00:00,2024-06-18T00:00:24+00:00
LIONEL MESSI,Brand,10,41029395,7797,531,4102940.0,2022-11-10T01:00:13+00:00,2022-12-24T20:00:07+00:00
Arcane,IP,23,32247816,39651,2018,1402079.0,2021-11-02T16:59:54+00:00,2022-12-01T21:00:30+00:00
Spider-Man: No Way Home,Movie,3,28234112,139411,3853,9411371.0,2022-01-17T01:00:12+00:00,2022-01-26T04:00:06+00:00
Godzilla,Movie,23,23640736,335652,11967,1027858.0,2019-05-22T16:08:57+00:00,2025-04-20T00:00:26+00:00
Bugatti,Brand,11,23001580,13623,574,2091053.0,2023-03-17T03:00:13+00:00,2025-04-14T01:00:22+00:00
Dying Light,Game,5,22428788,3810,332,4485758.0,2025-10-10T00:00:32+00:00,2025-10-29T00:01:22+00:00
Sonic,IP,2,20972032,3276,302,10486016.0,2025-10-03T00:01:05+00:00,2025-10-03T18:00:48+00:00
TRANSFORMERS,Movie,28,20699733,37071,1611,739276.0,2025-06-16T01:00:25+00:00,2025-08-22T19:15:35+00:00
Alesso,Artist,5,18769630,59644,3174,3753926.0,2021-03-16T18:24:06+00:00,2021-04-11T20:03:42+00:00
Peaky Blinders,IP,4,17784470,22547,1205,4446118.0,2026-01-09T00:00:39+00:00,2026-01-26T15:50:36+00:00
Porsche,Brand,3,15940626,6195,169,5313542.0,2025-12-03T02:51:41+00:00,2025-12-10T08:01:31+00:00
Metro Exodus,Game,49,14980773,46773,2691,305730.0,2020-08-07T13:00:05+00:00,2025-12-30T07:57:41+00:00
Koenigsegg,Brand,4,14275442,5247,295,3568861.0,2021-11-02T02:45:03+00:00,2022-08-08T15:06:43+00:00
Lamborghini,Brand,10,13689270,8836,438,1368927.0,2022-03-22T01:00:17+00:00,2025-09-22T02:00:56+00:00
Neon Genesis Evangelion,Anime,4,13679096,6039,736,3419774.0,2022-05-21T03:30:05+00:00,2022-06-01T01:00:13+00:00
Bruce Lee,IP,5,13510442,3051,229,2702088.0,2023-01-07T23:30:01+00:00,2023-01-22T02:30:02+00:00
McLaren,Brand,10,12339369,30705,1506,1233937.0,2021-05-31T05:35:09+00:00,2024-12-09T19:00:40+00:00
Balenciaga,Brand,4,10792752,780,131,2698188.0,2025-11-14T00:00:36+00:00,2025-12-14T17:27:30+00:00
Alan Walker,Artist,37,10515756,130098,7544,284210.0,2019-03-22T02:57:46+00:00,2025-03-22T19:59:49+00:00
Jujutsu Kaisen,Anime,6,10260675,43887,3184,1710113.0,2021-08-30T17:54:51+00:00,2022-03-02T02:00:21+00:00
BE@RBRICK,Brand,2,9407765,820,94,4703883.0,2023-04-14T16:30:07+00:00,2023-04-17T16:10:27+00:00
Pagani,IP,7,9025040,18544,259,1289291.0,2023-11-08T06:22:55+00:00,2023-11-19T19:55:00+00:00
Dodge,Brand,8,8320122,23179,378,1040015.0,2022-09-15T13:59:15+00:00,2025-01-13T17:00:30+00:00
Attack on Titan,Anime,25,7674168,37364,1757,306967.0,2025-04-30T04:00:21+00:00,2025-06-24T23:00:47+00:00
Maserati,IP,2,7672649,917,44,3836325.0,2022-11-22T01:00:04+00:00,2022-11-24T01:00:14+00:00
Bentley,Brand,6,7367713,8798,114,1227952.0,2024-03-13T00:00:32+00:00,2024-04-06T01:09:00+00:00
SSC,IP,5,7176972,3331,151,1435394.0,2024-05-14T22:00:12+00:00,2024-05-24T00:00:42+00:00
Skibidi Toilet,Other,3,6550059,5130,1438,2183353.0,2025-09-25T02:01:05+00:00,2025-10-09T21:00:50+00:00
KFC,IP,3,6264153,16499,115,2088051.0,2023-10-05T00:00:28+00:00,2023-10-28T00:13:00+00:00
Aston Martin,Brand,1,5753957,1328,45,5753957.0,2023-07-21T03:00:07+00:00,2023-07-21T03:00:07+00:00
Venom: The Last Dance,Movie,2,5481530,31798,1062,2740765.0,2024-10-16T00:00:27+00:00,2024-10-18T02:00:32+00:00
LINE FRIENDS,IP,4,5396034,18180,337,1349009.0,2021-06-30T02:00:08+00:00,2024-02-10T01:00:13+00:00
Karol G,Artist,3,5373988,3994,273,1791329.0,2023-05-24T17:00:13+00:00,2023-06-05T19:00:30+00:00
Samsung,Brand,64,5288129,69301,5270,82627.0,2018-09-18T02:48:53+00:00,2023-04-18T18:00:11+00:00
Jairo,Artist,1,5046329,2696,125,5046329.0,2025-09-11T23:01:32+00:00,2025-09-11T23:01:32+00:00
FAMILY,Anime,5,4797394,33260,330,959479.0,2024-04-12T00:00:27+00:00,2024-04-15T01:00:31+00:00
Baby Shark,Artist,2,4534051,4557,0,2267026.0,2021-11-10T07:00:13+00:00,2022-05-08T19:00:05+00:00
Shelby American,IP,1,4503168,2252,20,4503168.0,2025-05-09T00:15:02+00:00,2025-05-09T00:15:02+00:00
SANParks Honorary Rangers,Other,1,4430123,3168,30,4430123.0,2025-12-23T08:10:33+00:00,2025-12-23T08:10:33+00:00
Butterbear,IP,3,4335204,7272,36,1445068.0,2025-12-13T11:00:59+00:00,2025-12-18T04:00:55+00:00
Lotus,IP,2,4024772,8546,48,2012386.0,2025-09-12T00:00:43+00:00,2025-09-13T00:00:42+00:00
G-DRAGON,Artist,1,3837357,261,28,3837357.0,2025-09-20T07:00:26+00:00,2025-09-20T07:00:26+00:00
TESLA,Brand,3,3536736,8095,709,1178912.0,2021-07-12T04:07:54+00:00,2021-08-09T18:35:19+00:00
JVKE,IP,1,3481954,5365,378,3481954.0,2024-03-21T03:00:14+00:00,2024-03-21T03:00:14+00:00
PDP creator's portrait,IP,1,3404142,4703,24,3404142.0,2025-12-20T04:00:05+00:00,2025-12-20T04:00:05+00:00
USC Games,IP,1,3399298,394,22,3399298.0,2025-10-29T16:01:36+00:00,2025-10-29T16:01:36+00:00
Volkswagen,Brand,4,3309239,1260,62,827310.0,2024-09-20T00:00:35+00:00,2024-10-30T00:00:38+00:00
Zaha Hadid Architects,IP,3,3270969,2580,190,1090323.0,2022-01-27T22:00:13+00:00,2022-04-05T03:00:16+00:00
Warframe,Game,2,2958781,2986,216,1479391.0,2022-03-21T23:00:03+00:00,2022-04-16T23:00:20+00:00
揽佬SKAI ISYOURGOD,Artist,5,2946354,20811,524,589271.0,2025-08-18T20:45:26+00:00,2025-09-20T05:46:31+00:00
Ducati,IP,2,2666825,2404,153,1333413.0,2023-05-19T00:00:06+00:00,2023-06-08T00:08:06+00:00
GUINNESS WORLD RECORD,Other,2,2595996,1298,85,1297998.0,2026-01-25T15:30:08+00:00,2026-02-03T10:24:07+00:00
Venom,Movie,10,2554987,15709,703,255499.0,2024-10-11T00:00:21+00:00,2024-11-08T01:00:27+00:00
