partner_name,category,region,video_count,total_views,total_video_likes,total_comments,total_comment_likes,comment_likes_partial,avg_views,like_rate_pct,comment_rate_pct,top_videos,date_range_start,date_range_end
Unknown,Other,Unknown,512,447052965,706906,23406,0,True,873150.32,0.1581,0.0052,4zAxWvWy4eE|PUBG MOBILE | Chicko Drone Show; 74X9h-4veZE|PUBG MOBILE ｜Primewood Genesis Version Available N; G0yY2oNxXVk|PUBG MOBILE | 2025 PMGC MV,2025-01-26,2026-01-26
BLACKPINK,Artist,Global,15,136192824,1088245,37456,0,True,9079521.6,0.799,0.0275,GDWX-3kV6do|BLACKPINK x PUBG MOBILE - ‘Ready For Love’ M/V; VDvJTB6E0TU|PUBG MOBILE X BLACKPINK FUN MATCH; 3W9bTQDHMOA|PUBG MOBILE x BLACKPINK - Special Message,2000-01-01,2026-02-05
BABYMONSTER Live,Artist,Global,1,40888094,32166,1173,7393,True,40888094.0,0.0787,0.0029,loNIwFH3SQo|PUBG MOBILE x BABYMONSTER Live-Action Trailer,2000-01-01,2026-02-05
BABYMONSTER Live,Artist,Global,1,40878803,31814,1162,0,True,40878803.0,0.0778,0.0028,loNIwFH3SQo|PUBG MOBILE x BABYMONSTER Live-Action Trailer,2025-01-26,2026-01-26
BABYMONSTER,IP,Global,10,38320052,50345,1852,12380,True,3832005.2,0.1314,0.0048,rjg_n6_3Udo|PUBG MOBILE x BABYMONSTER | Special Message From B; jEP_3nH61h4|PUBG MOBILE X BABYMONSTER Collaboration Trailer; GurTT4S84a0|Join BABYMONSTER in Celebrating PUBG MOBILE’s 7th ,2000-01-01,2026-02-05
Dragon Ball Super,Anime,Global,17,34386544,115908,1819,0,True,2022737.88,0.3371,0.0053,"siB0pZJPFz8|PUBG MOBILE | Power Up Your Ki - Battle Royale: Dr; bUOOiOlBre4|PUBG MOBILE | Beerus, Majin Buu and Frieza style s; gX1TrzODjRI|PUBG MOBILE | Version 2.7 Update Launch Announceme",2000-01-01,2026-02-05
BABYMONSTER,IP,Global,7,34142610,43327,1529,0,True,4877515.71,0.1269,0.0045,rjg_n6_3Udo|PUBG MOBILE x BABYMONSTER | Special Message From B; jEP_3nH61h4|PUBG MOBILE X BABYMONSTER Collaboration Trailer; Lov6rzsKpiY|PUBG MOBILE X BABYMONSTER:Your Ultimate Guide​,2025-01-26,2026-01-26
LIONEL MESSI,IP,Global,3,30914378,3626,188,0,True,10304792.67,0.0117,0.0006,GJHX1iGoSZo|PUBG MOBILE x LIONEL MESSI | Unleash Your Roar | C; EhhT_5eBfvs|PUBG MOBILE X LIONEL MESSI | Unleash Your Roar | I; HTKr7DQ7EdY|PUBG MOBILE x LIONEL MESSI | Unleash The Roar | In,2000-01-01,2026-02-05
Arcane,Movie,Global,20,30835013,35219,1819,0,True,1541750.65,0.1142,0.0059,-q0Rptvnc_o|PUBG MOBILE x Arcane Collaboration Trailer; 4b1p3mHH6rI|PUBG MOBILE x ARCANE | Official Gameplay Preview; B1cPPXVurnA|PUBG MOBILE x ARCANE | ARCANE Hero Suits are avail,2000-01-01,2026-02-05
Spider-Man: No Way Home,Movie,Global,2,23882546,134317,3696,0,True,11941273.0,0.5624,0.0155,cRZ9sPzPvDo|PUBG MOBILE | Spider-Man: No Way Home Collaboratio; XF0VWTk2MCo|PUBG MOBILE | Spider-Man: No Way Home Collaboratio,2000-01-01,2026-02-05
Bugatti,Brand,Global,11,23001580,13623,574,193,True,2091052.73,0.0592,0.0025,FkeAon1JQU0|PUBG MOBILE X BUGATTI | The Aesthetics Of Speed | ; 6rH3R0yBHPE|PUBG MOBILE X BUGATTI | New Supercar Features Live; DOWGpEWfxOc|PUBG MOBILE x BUGATTI | Own The Dream!,2000-01-01,2026-02-05
Dying Light,IP,Global,5,22428788,3810,332,1131,True,4485757.6,0.017,0.0015,3dIo3NF8AT0|PUBG MOBILE x Dying Light: The Beast | Collaborati; S_y_vQlAjkc|PUBG MOBILE x Dying Light: The Beast arrives Octob; hfzAHb4-W9g|PUBG MOBILE x Dying Light: The Beast | Collaborati,2000-01-01,2026-02-05
Sonic,IP,Global,2,20972032,3276,302,1869,True,10486016.0,0.0156,0.0014,WDfRUd6iS8A|PUBG MOBILE X Sonic | Collaboration Trailer; 3-OhIBUz-O8|PUBG MOBILE X Sonic Collaboration Is Now Alive!,2000-01-01,2026-02-05
Sonic,IP,Global,2,20971453,3267,302,0,True,10485726.5,0.0156,0.0014,WDfRUd6iS8A|PUBG MOBILE X Sonic | Collaboration Trailer; 3-OhIBUz-O8|PUBG MOBILE X Sonic Collaboration Is Now Alive!,2025-01-26,2026-01-26
Dying Light,IP,Global,3,20793698,3130,308,0,True,6931232.67,0.0151,0.0015,3dIo3NF8AT0|PUBG MOBILE x Dying Light: The Beast | Collaborati; S_y_vQlAjkc|PUBG MOBILE x Dying Light: The Beast arrives Octob; hfzAHb4-W9g|PUBG MOBILE x Dying Light: The Beast | Collaborati,2025-01-26,2026-01-26
TRANSFORMERS,Movie,Global,28,20699733,37071,1611,3388,True,739276.18,0.1791,0.0078,wFfZyrA6yN0|PUBG MOBILE x TRANSFORMERS | Officially LIVE in Ve; -Jg9lnaOvFk|PUBG MOBILE X TRANSFORMERS | Collaboration Items A; v6leg5Ru61w|PUBG MOBILE X TRANSFORMERS Collaboration Items Com,2000-01-01,2026-02-05
TRANSFORMERS,Movie,Global,22,20100050,32621,1487,0,True,913638.64,0.1623,0.0074,wFfZyrA6yN0|PUBG MOBILE x TRANSFORMERS | Officially LIVE in Ve; -Jg9lnaOvFk|PUBG MOBILE X TRANSFORMERS | Collaboration Items A; v6leg5Ru61w|PUBG MOBILE X TRANSFORMERS Collaboration Items Com,2025-01-26,2026-01-26
Alesso,Artist,Global,5,18769630,59644,3174,0,True,3753926.0,0.3178,0.0169,"VPeM74-loiA|PUBG MOBILE 3RD ANNIVERSARY PARTY; P-bN5065w-g|PUBG MOBILE | PUBG MOBILE x Alesso: ""Going Dumb"" M; f0Ixw1CIK5Y|PUBG MOBILE | 3rd Anniversary Party Livestream Tea",2000-01-01,2026-02-05
Porsche,Brand,Global,3,15940626,6195,169,343,True,5313542.0,0.0389,0.0011,VrrnjG4cvZ4|PUBG MOBILE x Porsche Collaboration Trailer; 0wTp0E0suQA|PUBG MOBILE x Porsche | Dominate in style with ico; y3VSTvbWack|PUBG MOBILE |  Chicko's Porsche,2000-01-01,2026-02-05
Peaky Blinders,IP,Global,3,15405219,22263,1155,8665,True,5135073.0,0.1445,0.0075,Tw-F9ZMddSU|PUBG MOBILE x Peaky Blinders Collaboration Trailer; ZMxaKxLyVDE|PUBG MOBILE | Let‘s enjoy Peaky Blinders Style!; IlgtxzdEOTE|PUBG MOBILE | 420 IP Peaky Blinders In-game Showca,2000-01-01,2026-02-05
Porsche,Brand,Global,2,14338123,1122,157,0,True,7169061.5,0.0078,0.0011,VrrnjG4cvZ4|PUBG MOBILE x Porsche Collaboration Trailer; 0wTp0E0suQA|PUBG MOBILE x Porsche | Dominate in style with ico,2025-01-26,2026-01-26
Koenigsegg,Brand,Global,4,14275442,5247,295,0,True,3568860.5,0.0368,0.0021,Jm7wGLd4TO0|PUBG MOBILE | RELIVE THE RUSH with Koenigsegg!; tBgvArPdy2k|PUBG MOBILE x Koenigsegg Collaboration Trailer; Nr8Yc5vd6QI|PUBG MOBILE x Koenigsegg Collaboration Trailer #2,2000-01-01,2026-02-05
clusive Nordic Map,IP,Global,3,12983251,11941,502,0,True,4327750.33,0.092,0.0039,B3qPj8YWVHc|PUBG MOBILE - Exclusive Nordic Map: LIVIK - Episod; UrhdaKb_9pM|PUBG MOBILE - Exclusive Nordic Map: LIVIK - Episod; BrvpmFPv_C8|PUBG MOBILE - Exclusive Nordic Map: LIVIK - Episod,2000-01-01,2026-02-05
Ho Yeon,Artist,Global,1,12653964,1137,73,0,True,12653964.0,0.009,0.0006,pfTBqlarKwk|PUBG MOBILE | Special Message from NUSA Commission,2000-01-01,2026-02-05
McLaren,Brand,Global,8,12064715,12112,664,0,True,1508089.38,0.1004,0.0055,9V62OG21G7I|PUBG MOBILE | Dare to Dream Bigger with McLaren; p8zlRSYNiTY|PUBG MOBILE x McLAREN｜ Drive The Passion; -4zsZz0snjM|PUBG MOBILE x McLAREN F1 Team | Surge Into Glory,2000-01-01,2026-02-05
Godzilla,Movie,Global,11,11479318,123881,5212,4249,True,1043574.36,1.0792,0.0454,E3pJV16STvo|PUBG MOBILE | Godzilla: Awaken The Mighty; 6u0K_ZQWe3w|PUBG MOBILE | Godzilla Buddy; tx0H5DqoVIU|PUBG MOBILE x GODZILLA | Play Together in Godzilla,2000-01-01,2026-02-05
Lamborghini,Brand,Global,7,10948594,6916,382,73,True,1564084.86,0.0632,0.0035,MU0ojl5q5oc|PUBG MOBILE x Lamborghini | Collaboration Trailer; 3DnqsO8PT3M|PUBG MOBILE X Lamborghini | Be Invincible on the b; k-c-kYoNj_I|PUBG MOBILE x Lamborghini | Collaboration Teaser,2000-01-01,2026-02-05
Jujutsu Kaisen,Anime,Global,6,10260675,43887,3184,0,True,1710112.5,0.4277,0.031,JUdPWEXnHC0|PUBG MOBILE x JUJUTSU KAISEN | Collaboration Tease; 42ycFMhXU2k|PUBG MOBILE x Jujutsu Kaisen is HERE!; _vsOzcAMZJM|PUBG MOBILE | A BIG Annnouncement!,2000-01-01,2026-02-05
Peaky Blinders,IP,Global,1,10109030,19281,1049,0,True,10109030.0,0.1907,0.0104,Tw-F9ZMddSU|PUBG MOBILE x Peaky Blinders Collaboration Trailer,2025-01-26,2026-01-26
Alan Walker,Artist,Global,34,10014219,90842,5087,4882,True,294535.85,0.9071,0.0508,OygtobxtMqs|PUBG MOBILE | Air Drop Carnival with Alan Walker!; Atpb_cawfD0|PUBG MOBILE 1ST YEAR ANNIVERSARY PARTY!; -d7DiaWy9XA|PUBGM x Alan Walker 'Land Of The Heroes' Cover Con,2000-01-01,2026-02-05
BE@RBRICK,Brand,Global,2,9407765,820,94,0,True,4703882.5,0.0087,0.001,S19tTyU933g|PUBG MOBILE | PUBG MOBILE x BE@RBRICK Collaboratio; V4PxCS6fyuk|PUBG MOBILE X BE@RBRICK Collaboration Live now!,2000-01-01,2026-02-05
Bugatti,Brand,Global,9,9044795,10879,359,0,True,1004977.22,0.1203,0.004,DOWGpEWfxOc|PUBG MOBILE x BUGATTI | Own The Dream!; 3X1m2VxbRMg|PUBG MOBILE x BUGATTI | Collect Bugatti Models to ; FdTlCEnXEIQ|PUBG MOBILE x BUGATTI | Become Luxury With The Anu,2025-01-26,2026-01-26
Pagani,IP,Global,7,9025040,18544,259,0,True,1289291.43,0.2055,0.0029,"LrvtBXZC9qY|PUBG MOBILE X Pagani Collaboration Available Now!; N_W--QBkRrg|PUBG MOBILE | PUBG MOBILE x Pagani; GY5MZa5ALTY|PUBG MOBILE x Pagani | The ""Wind"" of Pagani Storms",2000-01-01,2026-02-05
Metro Exodus,Game,Global,22,8891933,13337,874,311,True,404178.77,0.15,0.0098,0NrUagQcY7M|PUBG MOBILE | 410 Metro Royale short video; V0w67bvF48o|PUBG MOBILE | Fight for Fortune in Metro Royale; d9KJE28fLIc|Metro Royale | The Brave and Battle-Hardened Fight,2000-01-01,2026-02-05
Dragon Ball,Anime,Global,8,8643733,12136,570,0,True,1080466.62,0.1404,0.0066,bPLwhq_KTvc|PUBG MOBILE x Dragon Ball Super | Elevate Your Pow; F4N1GWVspc8|PUBG MOBILE | Decorate with the Dragon Ball Super ; ryN_3FgAQvg|PUBG MOBILE x Dragon Ball Super | New Prize Path i,2000-01-01,2026-02-05
Dodge,Brand,Global,8,8320122,23179,378,0,True,1040015.25,0.2786,0.0045,lYumCT1xRKQ|PUBG MOBILE X Dodge | Take The Road To Victory | P; KMht5vUn4TY|Feel The Power of Dodge in PUBG MOBILE now!; WLQ0a0AHChQ|PUBG MOBILE X Dodge | Legends Dominate the Battleg,2000-01-01,2026-02-05
BALENCIAGA,Brand,Global,2,8269861,602,113,158,True,4134930.5,0.0073,0.0014,L3YYOiv6yac|PUBG MOBILE | BALENCIAGA Collaboration Trailer; SzmvpjL6SoU|PUBG MOBILE | BALENCIAGA Launch Teaser,2000-01-01,2026-02-05
BRUCELEE Official Trailer,IP,Global,1,8247131,1287,98,0,True,8247131.0,0.0156,0.0012,JzKOPNGkkXw|PUBG MOBILE | Take Them All - PUBGMxBRUCELEE Offic,2000-01-01,2026-02-05
EVANGELION,Anime,Global,1,7767212,2779,232,0,True,7767212.0,0.0358,0.003,bCcEAWNnUeU|PUBG MOBILE | EVANGELION Theme Mode Trailer - Core,2000-01-01,2026-02-05
Attack on Titan,Anime,Global,25,7674168,37364,1757,4879,True,306966.72,0.4869,0.0229,"SjS7J-Yf4nY|PUBG MOBILE x Attack On Titan | Dedicate Your Hear; SFafi7eln9w|PUBG MOBILE | Dawn of the Steam Era; NxHsFrcgO7I|PUBG MOBILE x Attack On Titan | Eren Jaeger, the U",2000-01-01,2026-02-05
Maserati,IP,Global,2,7672649,917,44,0,True,3836324.5,0.012,0.0006,AK7kMjf1L1A|PUBG MOBILE x Maserati | Beyond All Boundaries | C; KnbnTm2PD8g|PUBG MOBILE x Maserati | Beyond All Boundaries | E,2000-01-01,2026-02-05
Bentley,IP,Global,6,7367713,8798,114,0,True,1227952.17,0.1194,0.0015,wVljkzebWCA|PUBG MOBILE X Bentley | Illuminate the battlegroun; YfIDdCKtQ2w|PUBG MOBILExBentley | An Exhilarating Driving Expe; zMKrw5jd_Ng|PUBG MOBILE | Upgrade your in-game style to match ,2000-01-01,2026-02-05
SSC,IP,Global,5,7176972,3331,151,0,True,1435394.4,0.0464,0.0021,hPwoHN6LBEw|PUBG MOBILE x SSC | Redefine Speed | Partnership T; HJNBNyEgrdc|PUBG MOBILE x SSC | Experience speed like never be; c21sKolTCuA|PUBG MOBILE | SSC Collaboration Now Live,2000-01-01,2026-02-05
y Note9 PUBG MOBILE STAR CHALLENGE,Movie,KR,22,7003545,71080,3902,0,True,318342.95,1.0149,0.0557,aL6BBptK_dw|PMSC Global Finals Day 1 [ENGLISH] | Galaxy Note9 ; x-9OG1z0bXU|PMSC Global Finals Day 3 [ENGLISH] | Galaxy Note9 ; 1N-W-BcdYiE|PMSC Asia Semi-Finals Day 1 [HINDI] | Galaxy Note9,2000-01-01,2026-02-05
The King of Fighters,Game,Global,3,6963073,2021,270,0,True,2321024.33,0.029,0.0039,I_Ce-r9ETKA|PUBG MOBILE | KOF Launch PV; TsJpoMrlysE|PUBG MOBILE x The King of Fighters collaboration i; Yh9dOIjoDcc|PUBG MOBILE | KOF character posters,2000-01-01,2026-02-05
Skibidi Toilet,IP,Global,3,6550059,5130,1438,5845,True,2183353.0,0.0783,0.022,TEWqww6iCK4|PUBG MOBILE X Skibidi Toilet | Collaboration Trail; eQQVz_udQn4|PUBG MOBILE X Skibidi Toilet Collaboration Is Live; rREKBH8zaf8|PUBG MOBILE | WOW × Skibidi Toilet Tower Defense G,2000-01-01,2026-02-05
