video_id,title,published_at,duration,view_count,like_count,comment_count,is_collab,collab_partner,collab_category,collab_region,collab_summary,collab_confidence,classification_method,youtube_url
lGySzZZFDPo,PUBG MOBILE | New Dual-Form Gilt Set coming at 1/27,2026-01-26T07:00:24+00:00,PT27S,1036,93,6,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=lGySzZZFDPo
GTPKrb19PBQ,PUBG MOBILE | Chicko with GUINNESS WORLD RECORD,2026-01-25T15:30:08+00:00,PT20S,15932,494,13,True,GUINNESS WORLD RECORD,IP,Global,Collaboration with GUINNESS WORLD RECORD,0.85,rule,https://www.youtube.com/watch?v=GTPKrb19PBQ
te-bylV9tzQ,PUBG MOBILE | New Gilt Set Witherbloom Prodigy Set coming at 1/27,2026-01-25T02:00:53+00:00,PT35S,322056,307,35,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=te-bylV9tzQ
bQgagf7DMyo,PUBG MOBILE | 2025 Gold Investigators Offline Meeting Video,2026-01-24T13:17:53+00:00,PT2M5S,4016,103,27,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=bQgagf7DMyo
uYXzqqch2rU,"PUBG MOBILE | Join the event, unlock the emote!",2026-01-24T04:00:53+00:00,PT29S,84440,434,26,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=uYXzqqch2rU
43G-PPnThVY,PUBG MOBILE | PDP Creator-Designed Mythic Outfits are now available,2026-01-24T02:00:03+00:00,PT20S,55488,41,5,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=43G-PPnThVY
N01ELnpsnHs,PUBG MOBILE | It‘s coming!?!,2026-01-24T00:00:36+00:00,PT8S,119619,1349,24,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=N01ELnpsnHs
Zn0xktOLRcw,PUBG MOBILE | 420 Security Tips Explained 1,2026-01-23T12:01:10+00:00,PT1M6S,52199,70,11,True,plained 1,IP,Global,Collaboration with plained 1,0.85,rule,https://www.youtube.com/watch?v=Zn0xktOLRcw
FctmFgErxCU,PUBG MOBILE | The exclusive romance of FRIEND FEST is here!✨,2026-01-23T10:00:21+00:00,PT2M29S,233762,139,32,True,,,,,0.3,rule_fallback,https://www.youtube.com/watch?v=FctmFgErxCU
FmrDFKEAzQE,PUBG MOBILE | New PDP Lucky Spin and Mythic Sets are now available,2026-01-23T08:00:25+00:00,PT25S,220560,98,10,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=FmrDFKEAzQE
vlZT-b_Lojs,PUBG MOBILE | 420 Friend Fest PV,2026-01-23T04:00:49+00:00,PT46S,219921,165,25,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=vlZT-b_Lojs
SQN6qz2gk0U,PUBG MOBILE | Chicko Pigeon,2026-01-22T12:26:15+00:00,PT13S,1017028,1777,44,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=SQN6qz2gk0U
COgW4wQrXEg,PUBG MOBILE | 420 Friend Fest Teaser,2026-01-22T04:00:09+00:00,PT34S,59719,175,19,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=COgW4wQrXEg
wChrpQhDDL8,PUBG MOBILE | Wow Fallen Ark,2026-01-21T06:15:38+00:00,PT32S,142955,135,19,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=wChrpQhDDL8
31_G4jLXVKc,PUBG MOBILE | Chicko is Replying,2026-01-20T09:00:09+00:00,PT13S,843797,2134,90,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=31_G4jLXVKc
AAZjrXVW6HM,PUBG MOBILE | 420 THEMED GAMEPLAY SKILLS COMBINATION,2026-01-18T04:00:08+00:00,PT28S,4285930,671,21,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=AAZjrXVW6HM
ZZJMhak5pJU,PUBG MOBILE | TARGETING VINES GUIDE,2026-01-17T10:01:01+00:00,PT24S,2147970,241,67,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ZZJMhak5pJU
0RMd1uG_TTQ,PUBG MOBILE | Chicko’s Reaction,2026-01-16T13:47:05+00:00,PT18S,12346,353,18,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=0RMd1uG_TTQ
CMgdK7ZQmvk,PUBG MOBILE | V4.2 Season Ascension Tutorial,2026-01-15T08:09:43+00:00,PT3M32S,441205,290,68,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=CMgdK7ZQmvk
ZMxaKxLyVDE,PUBG MOBILE | Let‘s enjoy Peaky Blinders Style!,2026-01-14T13:48:09+00:00,PT18S,3112126,1904,47,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ZMxaKxLyVDE
ztfDdEy7xHc,PUBG MOBILE | RPA17 Victory Dance live now!,2026-01-13T06:01:23+00:00,PT12S,1354348,725,26,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ztfDdEy7xHc
CyRtVRhHOUc,PUBG MOBILE | BRAMBLEWOOD SCORPION GUIDE,2026-01-13T04:00:10+00:00,PT35S,3444211,257,33,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=CyRtVRhHOUc
UnPNAkjNZGE,PUBG MOBILE | New RP A17 & victory dance available now!,2026-01-11T00:00:38+00:00,PT21S,2149589,292,47,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=UnPNAkjNZGE
APtV8Je_cl4,Whisper | PUBG MOBILE Primewood Genesis Theme Song,2026-01-10T06:00:08+00:00,PT3M15S,3683012,13469,801,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=APtV8Je_cl4
IlgtxzdEOTE,PUBG MOBILE | 420 IP Peaky Blinders In-game Showcase Video,2026-01-10T01:00:33+00:00,PT44S,2171612,746,45,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=IlgtxzdEOTE
q1Yg_i2O_1I,PUBG MOBILE | Chicko 1 2 3 GO!,2026-01-09T14:30:32+00:00,PT31S,1926106,8255,110,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=q1Yg_i2O_1I
Tw-F9ZMddSU,PUBG MOBILE x Peaky Blinders Collaboration Trailer,2026-01-09T00:00:39+00:00,PT1M26S,10109030,19281,1049,True,Peaky Blinders,IP,Global,Collaboration with Peaky Blinders,0.85,rule,https://www.youtube.com/watch?v=Tw-F9ZMddSU
bf4xvCaziYg,PUBG MOBILE | 420 THEMED GAMEPLAY PRIMEWOOD PURIFICATION VIDEO,2026-01-08T06:00:36+00:00,PT12S,5578929,1833,36,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=bf4xvCaziYg
d-Gv5C9nEHs,PUBG MOBILE | V4.2 TREANT SMART ALLY BARKLE GUIDE,2026-01-08T04:00:40+00:00,PT1M30S,3038311,446,68,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=d-Gv5C9nEHs
josy7xwydK8,PUBG MOBILE | V4.2 available now!,2026-01-07T13:42:53+00:00,PT9S,732865,5214,70,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=josy7xwydK8
xObxa4hNYbE,PUBG MOBILE | CLASSIC MODE UPDATES,2026-01-07T04:00:56+00:00,PT12S,1927246,273,52,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=xObxa4hNYbE
21yVcYxWRy8,PUBG MOBILE | V4.2 UPDATE GUIDE,2026-01-06T20:00:03+00:00,PT1M43S,2750989,1673,204,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=21yVcYxWRy8
74X9h-4veZE,PUBG MOBILE ｜Primewood Genesis Version Available Now,2026-01-06T18:00:07+00:00,PT1M10S,10526953,1877,129,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=74X9h-4veZE
20M3becrqhs,PUBG MOBILE | Chicko sticker walk around,2026-01-06T16:12:30+00:00,PT9S,860320,5807,38,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=20M3becrqhs
VtJFD64z3xQ,PUBG MOBILE | 420 THEMED GAMEPLAY PATCH NOTE VIDEO,2026-01-06T08:07:38+00:00,PT2M39S,5719049,1011,164,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=VtJFD64z3xQ
7lEsJw8AHVM,PUBG MOBILE | 420 THEMED GAMEPLAY TREANT SMART ALLY BARKLE VIDEO,2026-01-05T15:47:29+00:00,PT36S,7453681,13364,145,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=7lEsJw8AHVM
pDd2Hh5D4Qs,PUBG MOBILE | BYE BYE PowNin,2026-01-05T11:55:44+00:00,PT16S,2550675,33289,1907,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=pDd2Hh5D4Qs
nvZCStKagz4,PUBG MOBILE | 420 Classic Update Preheat Video,2026-01-04T01:54:23+00:00,PT57S,329348,1598,178,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=nvZCStKagz4
cSfiCIDwAqM,PUBG MOBILE |  410 Penguin Rescue Operation Memorial Short,2026-01-03T05:54:22+00:00,PT2M20S,2511193,719,90,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=cSfiCIDwAqM
fZpeyQ5GTj0,PUBG MOBILE | 420 Metro Royale patch note video,2026-01-03T04:00:46+00:00,PT1M24S,1333866,143,27,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=fZpeyQ5GTj0
FSMvI3dtaws,PUBG MOBILE | PowNin & Barkle,2026-01-02T06:00:20+00:00,PT12S,1603758,6583,106,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=FSMvI3dtaws
ORMqqDm_bag,PUBG MOBILE | 420 SEASON ASCENSION DEV TALK VIDEO,2026-01-01T12:00:51+00:00,PT3M52S,900790,1216,283,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ORMqqDm_bag
kgcSbcw18B4,PUBG MOBILE | 410 Gilt Set 2 coser Video,2026-01-01T10:01:12+00:00,PT18S,4427099,15885,112,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=kgcSbcw18B4
bcbNEQtnBbg,PUBG MOBILE | 410 NEW YEAR EVENT MINI PV,2026-01-01T08:00:51+00:00,PT23S,4442988,17415,104,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=bcbNEQtnBbg
LYHM4psWvvg,PUBG MOBILE | Chicko first day of the month,2026-01-01T06:00:16+00:00,PT9S,308553,2523,12,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=LYHM4psWvvg
1kdYkwP7Kwk,PUBG MOBILE | Happy new year!,2025-12-31T16:00:37+00:00,PT17S,13150,349,16,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=1kdYkwP7Kwk
c63NULFrj3E,PUBG MOBILE | Chicko travel check-in,2025-12-31T12:01:17+00:00,PT16S,2121084,841,53,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=c63NULFrj3E
I2-T5yGm3N8,PUBG MOBILE | Chicko celebrating 1B download,2025-12-31T10:06:00+00:00,PT10S,996581,9631,123,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=I2-T5yGm3N8
eFqhJ6BGQ6M,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN POSTER 3,2025-12-31T06:00:43+00:00,PT10S,3792609,403,10,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=eFqhJ6BGQ6M
IDUyBryF0Uc,PUBG MOBILE | 410 Gilt Set 2 ingame video,2025-12-31T04:00:20+00:00,PT1M4S,1093051,455,77,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=IDUyBryF0Uc
4PVjskCGYkQ,PUBG MOBILE | 2025 WOW Creative Vision Awards Co-creation Video,2025-12-30T18:00:05+00:00,PT2M58S,1437995,112,10,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=4PVjskCGYkQ
iLSlsCjs9is,PUBG MOBILE | Chicko 2025 recap,2025-12-30T10:08:03+00:00,PT30S,4228862,11484,224,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=iLSlsCjs9is
ZmSoyRbHJyo,PUBG MOBILE | 410 Metro Royale Motion Wall Paper,2025-12-30T07:57:41+00:00,PT8S,16049,614,13,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ZmSoyRbHJyo
R2JuotWuhoM,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN POSTER 2,2025-12-30T06:00:22+00:00,PT10S,3544019,314,7,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=R2JuotWuhoM
YX2cURcx4XA,PUBG MOBILE | 420 preheat video 2,2025-12-30T04:00:37+00:00,PT12S,4323411,5663,75,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=YX2cURcx4XA
p-pQOpROVUY,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER CONFIRMATION 4,2025-12-30T02:00:53+00:00,PT10S,2107379,798,69,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=p-pQOpROVUY
4hVQUPbZnDs,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN,2025-12-29T08:00:11+00:00,PT10S,3732644,301,15,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=4hVQUPbZnDs
jNypzoKYkBg,PUBG MOBILE | Chicko Jump,2025-12-29T06:00:44+00:00,PT12S,2251803,6266,36,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=jNypzoKYkBg
bzGZcQp_w6E,PUBG MOBILE | New Winterglow Sylph Gilt Set Coming Soon,2025-12-29T04:00:38+00:00,PT38S,1230600,634,116,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=bzGZcQp_w6E
YOumdLUyjVs,PUBG MOBILE | 420 preheat video 1,2025-12-27T06:00:36+00:00,PT15S,3663740,2017,41,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=YOumdLUyjVs
uDSX9RbNqdo,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER CONFIRMATION 3,2025-12-27T04:01:01+00:00,PT11S,3526679,485,11,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=uDSX9RbNqdo
lpGQNYx0jMg,PUBG MOBILE | SUPERSTAR UNITE HIGHLIGHT OFFICIAL VIDEO,2025-12-27T02:00:57+00:00,PT54S,1012129,110,13,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=lpGQNYx0jMg
LJYcDwCB56E,PUBG MOBILE | 410 NEW YEAR EVENT INTRODUCTION VIDEO,2025-12-26T04:00:31+00:00,PT44S,3482815,3407,25,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=LJYcDwCB56E
P4EnwCqRUzo,PUBG MOBILE | Single Chicko,2025-12-25T10:00:44+00:00,PT18S,1752296,3453,35,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=P4EnwCqRUzo
X3i84jpPs9c,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER DISPATCH 4,2025-12-25T02:26:57+00:00,PT11S,3849514,397,23,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=X3i84jpPs9c
6teOyhhdCk0,PUBG MOBILE | WOW Arctic-Themed Maps PV,2025-12-24T15:09:40+00:00,PT1M,802500,98,9,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=6teOyhhdCk0
5SF9ITsYt04,PUBG MOBILE | Merry Xmas,2025-12-24T10:00:19+00:00,PT13S,1708260,377,14,True,mas,IP,Global,Collaboration with mas,0.85,rule,https://www.youtube.com/watch?v=5SF9ITsYt04
9GHfe3rHG-k,PUBG MOBILE | Muscle Chicken holiday security,2025-12-24T07:11:58+00:00,PT43S,225227,87,10,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=9GHfe3rHG-k
2BNE5rkKvss,PUBG MOBILE | 410 Animal Bangkok Explore,2025-12-23T18:00:03+00:00,PT31S,1251786,107,13,True,plore,IP,Global,Collaboration with plore,0.85,rule,https://www.youtube.com/watch?v=2BNE5rkKvss
lwuwcpl2v3o,PUBG MOBILE | 410 Metro Royale Annual Highlight,2025-12-23T15:55:21+00:00,PT34S,8903,135,11,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=lwuwcpl2v3o
RNPZz1ffbrg,PUBG MOBILE | 410 Penguin Rescue Operation Short Edit,2025-12-23T08:10:33+00:00,PT53S,4429982,3174,31,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=RNPZz1ffbrg
ZXvr4kcB68s,PUBG MOBILE | Chicko Santa,2025-12-23T06:00:39+00:00,PT14S,2173289,5366,56,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ZXvr4kcB68s
VEWW63vkWN4,PUBG MOBILE | 410 Account Security Awareness Video,2025-12-22T15:40:59+00:00,PT36S,794907,169,24,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=VEWW63vkWN4
PT88kU_TSXI,PUBG MOBILE |  Chicko back to work after PMGC,2025-12-22T13:36:17+00:00,PT19S,1676023,862,13,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=PT88kU_TSXI
oDZYyjDs0PM,PUBG MOBILE | Chicko Slow Camera Glambot Moment,2025-12-21T04:00:51+00:00,PT13S,1623659,688,44,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=oDZYyjDs0PM
ilIp25r_aYc,PUBG MOBILE | 410 PDP Creative Vision Awards co creation video-EN,2025-12-20T06:00:47+00:00,PT2M57S,1064521,105,11,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ilIp25r_aYc
4LzuhzThRYI,PUBG MOBILE | Chicko with PDP creator's portrait,2025-12-20T04:00:05+00:00,PT16S,3404026,4715,24,True,PDP creator's portrait,IP,Global,Collaboration with PDP creator's portrait,0.85,rule,https://www.youtube.com/watch?v=4LzuhzThRYI
nRBoDkc44ho,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER CONFIRMATION 2,2025-12-19T15:31:53+00:00,PT10S,3419136,305,17,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=nRBoDkc44ho
4NElw-D3Fts,PUBG MOBILE | Chicko cute walking,2025-12-19T10:48:17+00:00,PT11S,1409386,1031,9,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=4NElw-D3Fts
HWIKPksdZMc,PUBG MOBILE | 410 Companion ingame Video,2025-12-19T06:07:36+00:00,PT32S,5440,73,13,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=HWIKPksdZMc
SQ5eeXSwYBY,"PUBG MOBILE: Holiday Rewind | $10,000 USD Prize Bundle Sweepstakes & Massive UC Giveaway!",2025-12-19T04:21:39+00:00,PT3H24M16S,11263,418,20,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=SQ5eeXSwYBY
_UoBcEj8GLE,PUBG MOBILE | 410 Popularity Annual Gala Result PV,2025-12-19T04:00:38+00:00,PT36S,1218602,489,33,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=_UoBcEj8GLE
lNBqoistei8,PUBG MOBILE | BABYMONSTER COLLAB IN 1 MINUTE,2025-12-19T02:00:52+00:00,PT1M21S,4628,106,7,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=lNBqoistei8
m2bOOm8ttsE,PUBG MOBILE | Chicko with Butter Bear 2,2025-12-18T04:00:55+00:00,PT15S,1707301,2329,16,True,Butter Bear 2,IP,Global,Collaboration with Butter Bear 2,0.85,rule,https://www.youtube.com/watch?v=m2bOOm8ttsE
79HXB-MvUZw,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER DISPATCH 3,2025-12-17T07:59:45+00:00,PT11S,3562961,255,11,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=79HXB-MvUZw
msZoVkKGiKM,PUBG MOBILE | 410 FROST FESTIVAL,2025-12-17T06:00:49+00:00,PT50S,4946758,14421,28,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=msZoVkKGiKM
wK3Dpyc5kkY,PUBG MOBILE | Chicko with Maid Café girls,2025-12-17T04:00:54+00:00,PT16S,1780145,279,9,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=wK3Dpyc5kkY
v2RvfmXfR4A,PUBG MOBILE | PMGC Love Connects,2025-12-16T16:01:26+00:00,PT1M31S,2607595,126,16,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=v2RvfmXfR4A
7iAfN3m0LQk,PUBG MOBILE | 410 ultimate runway recap,2025-12-16T07:00:07+00:00,PT46S,3542096,217,22,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=7iAfN3m0LQk
60-SPTQwH2s,PUBG MOBILE | Meow Meow Chicko,2025-12-16T02:00:12+00:00,PT6S,1097687,6999,20,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=60-SPTQwH2s
r68XF6u3aGU,PUBG MOBILE | 410 RP Bonus ingame Video,2025-12-15T12:01:43+00:00,PT46S,248447,162,18,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=r68XF6u3aGU
ldymjsHtFmU,PUBG MOBILE | 2025 Frost Festival,2025-12-15T10:01:17+00:00,PT1M6S,4024726,201,16,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ldymjsHtFmU
ymfScV8D-Rw,PUBG MOBILE | Chicko Champion team A7,2025-12-14T18:57:11+00:00,PT15S,1763020,7667,47,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=ymfScV8D-Rw
Rnjq26ifMVA,PUBG MOBILE | Chicko Smash Moment,2025-12-14T17:55:18+00:00,PT14S,1587568,390,13,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=Rnjq26ifMVA
waHoynDOM4Y,PUBG MOBILE | Champions Moment,2025-12-14T17:27:30+00:00,PT14S,1789004,95,10,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=waHoynDOM4Y
O6OV6xPYwOE,[EN] 2025 PMGC Grand Finals | Day 3 | PUBG MOBILE Global Championship,2025-12-14T15:22:29+00:00,PT5H44M56S,151951,2976,27,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=O6OV6xPYwOE
2kpsKoBB82U,PUBG MOBILE | BAM BAM content,2025-12-14T15:00:14+00:00,PT16S,1913236,9402,39,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=2kpsKoBB82U
gkb5zCSuzFc,2025PMGC｜PUBG MOBILE Bangkok #1,2025-12-14T13:38:25+00:00,PT1M33S,3264046,105,9,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=gkb5zCSuzFc
S-RwMciV5XI,PUBG MOBILE | 410 PMGC DRONE LIGHT SHOW,2025-12-14T09:00:42+00:00,PT40S,3691,106,7,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=S-RwMciV5XI
wvyMqR3ePXw,PUBG MOBILE | Chicko with Bus 2,2025-12-14T07:00:50+00:00,PT14S,1653003,2954,24,True,Bus 2,IP,Global,Collaboration with Bus 2,0.85,rule,https://www.youtube.com/watch?v=wvyMqR3ePXw
c30Zt-tSnUY,PUBG MOBILE | Chicko with Bus 1,2025-12-14T06:05:41+00:00,PT13S,1132046,556,6,True,Bus 1,IP,Global,Collaboration with Bus 1,0.85,rule,https://www.youtube.com/watch?v=c30Zt-tSnUY
4zAxWvWy4eE,PUBG MOBILE | Chicko Drone Show,2025-12-13T17:34:59+00:00,PT29S,17274770,4488,51,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=4zAxWvWy4eE
5DWKWOO7bZ8,[EN] 2025 PMGC Grand Finals | Day 2 | PUBG MOBILE Global Championship,2025-12-13T16:50:07+00:00,PT7H36M35S,220780,2758,26,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=5DWKWOO7bZ8
MKmysWnrbA0,PUBG MOBILE | Story Chicko with Butterbear,2025-12-13T12:00:50+00:00,PT22S,1496253,4156,17,True,Butterbear,IP,Global,Collaboration with Butterbear,0.85,rule,https://www.youtube.com/watch?v=MKmysWnrbA0
bUCH22aj328,PUBG MOBILE | Chicko dance with ButterBear,2025-12-13T11:00:59+00:00,PT17S,1131422,796,5,True,ButterBear,IP,Global,Collaboration with ButterBear,0.85,rule,https://www.youtube.com/watch?v=bUCH22aj328
9b-Z2zAe-7c,PUBG MOBILE | Chicko photos in all City Popup event booth,2025-12-13T09:00:23+00:00,PT10S,381240,1730,14,True,,,,,0.3,rule_low_conf,https://www.youtube.com/watch?v=9b-Z2zAe-7c
