video_id,title,collab_partner,collab_category,view_count,comment_count,analyzed_comments,positive,negative,neutral,positive_ratio,negative_ratio,neutral_ratio,avg_compound,sentiment_label
AAZjrXVW6HM,PUBG MOBILE | 420 THEMED GAMEPLAY SKILLS COMBINATION,,,4285930,21,20,8,6,6,40.0,30.0,30.0,0.1199,positive
APtV8Je_cl4,Whisper | PUBG MOBILE Primewood Genesis Theme Song,,,3683012,801,139,83,21,35,59.71,15.11,25.18,0.349,positive
Tw-F9ZMddSU,PUBG MOBILE x Peaky Blinders Collaboration Trailer,Peaky Blinders,IP,10109030,1049,138,64,18,56,46.38,13.04,40.58,0.191,positive
bf4xvCaziYg,PUBG MOBILE | 420 THEMED GAMEPLAY PRIMEWOOD PURIFICATION VIDEO,,,5578929,36,33,16,6,11,48.48,18.18,33.33,0.168,positive
74X9h-4veZE,PUBG MOBILE ｜Primewood Genesis Version Available Now,,,10526953,129,116,69,10,37,59.48,8.62,31.9,0.3151,positive
VtJFD64z3xQ,PUBG MOBILE | 420 THEMED GAMEPLAY PATCH NOTE VIDEO,,,5719049,164,140,66,31,43,47.14,22.14,30.71,0.1375,positive
7lEsJw8AHVM,PUBG MOBILE | 420 THEMED GAMEPLAY TREANT SMART ALLY BARKLE VIDEO,,,7453681,145,106,44,25,37,41.51,23.58,34.91,0.1209,positive
kgcSbcw18B4,PUBG MOBILE | 410 Gilt Set 2 coser Video,,,4427099,112,102,51,22,29,50.0,21.57,28.43,0.2589,positive
bcbNEQtnBbg,PUBG MOBILE | 410 NEW YEAR EVENT MINI PV,,,4442988,104,96,62,6,28,64.58,6.25,29.17,0.4915,positive
eFqhJ6BGQ6M,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN POSTER 3,,,3792609,10,10,8,0,2,80.0,0.0,20.0,0.6551,positive
iLSlsCjs9is,PUBG MOBILE | Chicko 2025 recap,,,4228862,224,103,42,39,22,40.78,37.86,21.36,0.0217,neutral
R2JuotWuhoM,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN POSTER 2,,,3544019,7,6,5,1,0,83.33,16.67,0.0,0.4932,positive
YX2cURcx4XA,PUBG MOBILE | 420 preheat video 2,,,4323411,75,73,33,11,29,45.21,15.07,39.73,0.2053,positive
4hVQUPbZnDs,PUBG MOBILE | 410 NEW YEAR EVENT COUNT DOWN,,,3732644,15,12,7,4,1,58.33,33.33,8.33,0.211,positive
YOumdLUyjVs,PUBG MOBILE | 420 preheat video 1,,,3663740,41,39,16,7,16,41.03,17.95,41.03,0.139,positive
uDSX9RbNqdo,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER CONFIRMATION 3,,,3526679,11,11,2,3,6,18.18,27.27,54.55,-0.09,negative
X3i84jpPs9c,PUBG MOBILE | 420 THEMED GAME MODE BETA SERVER DISPATCH 4,,,3849514,23,21,9,5,7,42.86,23.81,33.33,0.1973,positive
